#Total Fragments: 1000
#Fragments Considered: 667
#Valid Constructs: 619
#Guides Passing: 1278
#Guides Failing: 56
#Constructs Recognized: 344
#Constructs Unrecognized: 275
construct_id	target_a_id	probe_a_id	target_b_id	probe_b_id	A549-CV4-1000_d28_1
ABL1_chr9_133589790__IGF1R_chr15_99434664	ABL1	ABL1_chr9_133589790	IGF1R	IGF1R_chr15_99434664	0
ABL1_chr9_133589790__KDM5C_chrX_53241021	ABL1	ABL1_chr9_133589790	KDM5C	KDM5C_chrX_53241021	0
ABL1_chr9_133589790__KDM5C_chrX_53254068	ABL1	ABL1_chr9_133589790	KDM5C	KDM5C_chrX_53254068	0
ABL1_chr9_133589790__KDM6A_chrX_44820615	ABL1	ABL1_chr9_133589790	KDM6A	KDM6A_chrX_44820615	0
ABL1_chr9_133589790__KDM6A_chrX_44820616	ABL1	ABL1_chr9_133589790	KDM6A	KDM6A_chrX_44820616	0
ABL1_chr9_133589790__KIT_chr4_55524164	ABL1	ABL1_chr9_133589790	KIT	KIT_chr4_55524164	0
ABL1_chr9_133589790__KMT2D_chr12_49448161	ABL1	ABL1_chr9_133589790	KMT2D	KMT2D_chr12_49448161	0
ABL1_chr9_133589790__KMT2D_chr12_49448168	ABL1	ABL1_chr9_133589790	KMT2D	KMT2D_chr12_49448168	0
ABL1_chr9_133589790__KMT2D_chr12_49448468	ABL1	ABL1_chr9_133589790	KMT2D	KMT2D_chr12_49448468	0
ABL1_chr9_133589790__MAP2K1_chr15_66679756	ABL1	ABL1_chr9_133589790	MAP2K1	MAP2K1_chr15_66679756	0
ABL1_chr9_133589790__MAP3K1_chr5_56111382	ABL1	ABL1_chr9_133589790	MAP3K1	MAP3K1_chr5_56111382	0
ABL1_chr9_133589790__MAP3K1_chr5_56152466	ABL1	ABL1_chr9_133589790	MAP3K1	MAP3K1_chr5_56152466	0
ABL1_chr9_133589790__MET_chr7_116340207	ABL1	ABL1_chr9_133589790	MET	MET_chr7_116340207	0
ABL1_chr9_133589790__MLH1_chr3_37045912	ABL1	ABL1_chr9_133589790	MLH1	MLH1_chr3_37045912	0
ABL1_chr9_133589790__MSH6_chr2_48018154	ABL1	ABL1_chr9_133589790	MSH6	MSH6_chr2_48018154	0
ABL1_chr9_133589790__NF1_chr17_29422308	ABL1	ABL1_chr9_133589790	NF1	NF1_chr17_29422308	0
ABL1_chr9_133589790__NF1_chr17_29483039	ABL1	ABL1_chr9_133589790	NF1	NF1_chr17_29483039	0
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	ABL1	ABL1_chr9_133589790	NonTargetingControlGuideForHuman0352	NonTargetingControlGuideForHuman0352	0
ABL1_chr9_133589790__PARP1_chr1_226578249	ABL1	ABL1_chr9_133589790	PARP1	PARP1_chr1_226578249	0
ABL1_chr9_133589790__PARP1_chr1_226578301	ABL1	ABL1_chr9_133589790	PARP1	PARP1_chr1_226578301	0
ABL1_chr9_133589790__PARP1_chr1_226595581	ABL1	ABL1_chr9_133589790	PARP1	PARP1_chr1_226595581	0
ABL1_chr9_133589790__PBRM1_chr3_52713723	ABL1	ABL1_chr9_133589790	PBRM1	PBRM1_chr3_52713723	0
ABL1_chr9_133589790__PDGFRA_chr4_55124932	ABL1	ABL1_chr9_133589790	PDGFRA	PDGFRA_chr4_55124932	0
ABL1_chr9_133589790__PDGFRA_chr4_55124963	ABL1	ABL1_chr9_133589790	PDGFRA	PDGFRA_chr4_55124963	0
ABL1_chr9_133589790__PIK3CA_chr3_178919070	ABL1	ABL1_chr9_133589790	PIK3CA	PIK3CA_chr3_178919070	0
ABL1_chr9_133589790__PIK3CA_chr3_178919167	ABL1	ABL1_chr9_133589790	PIK3CA	PIK3CA_chr3_178919167	0
ABL1_chr9_133589790__PIK3R1_chr5_67576410	ABL1	ABL1_chr9_133589790	PIK3R1	PIK3R1_chr5_67576410	0
ABL1_chr9_133589790__PIK3R1_chr5_67576421	ABL1	ABL1_chr9_133589790	PIK3R1	PIK3R1_chr5_67576421	1
ABL1_chr9_133589790__PRKDC_chr8_48686398	ABL1	ABL1_chr9_133589790	PRKDC	PRKDC_chr8_48686398	0
ABL1_chr9_133589790__PRKDC_chr8_48686781	ABL1	ABL1_chr9_133589790	PRKDC	PRKDC_chr8_48686781	0
ABL1_chr9_133589790__PTEN_chr10_89653786	ABL1	ABL1_chr9_133589790	PTEN	PTEN_chr10_89653786	0
ABL1_chr9_133589790__RB1_chr13_48878054	ABL1	ABL1_chr9_133589790	RB1	RB1_chr13_48878054	0
ABL1_chr9_133589790__RB1_chr13_48934148	ABL1	ABL1_chr9_133589790	RB1	RB1_chr13_48934148	0
ABL1_chr9_133589790__ROR1_chr1_64240072	ABL1	ABL1_chr9_133589790	ROR1	ROR1_chr1_64240072	0
ABL1_chr9_133589790__ROR1_chr1_64240143	ABL1	ABL1_chr9_133589790	ROR1	ROR1_chr1_64240143	0
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	ABL1	ABL1_chr9_133589790	RPS6KB1	RPS6KB1_chr17_57970538	0
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	ABL1	ABL1_chr9_133589790	RPS6KB1	RPS6KB1_chr17_57987922	0
ABL1_chr9_133589790__RRM2_chr2_10262728	ABL1	ABL1_chr9_133589790	RRM2	RRM2_chr2_10262728	0
ABL1_chr9_133589790__RRM2_chr2_10262940	ABL1	ABL1_chr9_133589790	RRM2	RRM2_chr2_10262940	0
ABL1_chr9_133589790__RUNX1_chr21_36252902	ABL1	ABL1_chr9_133589790	RUNX1	RUNX1_chr21_36252902	0
ABL1_chr9_133589790__RUNX1_chr21_36421144	ABL1	ABL1_chr9_133589790	RUNX1	RUNX1_chr21_36421144	0
ABL1_chr9_133589790__SETD2_chr3_47142951	ABL1	ABL1_chr9_133589790	SETD2	SETD2_chr3_47142951	0
ABL1_chr9_133589790__SETD2_chr3_47205411	ABL1	ABL1_chr9_133589790	SETD2	SETD2_chr3_47205411	0
ABL1_chr9_133589790__SMARCA4_chr19_11094819	ABL1	ABL1_chr9_133589790	SMARCA4	SMARCA4_chr19_11094819	0
ABL1_chr9_133589790__SMARCB1_chr22_24129339	ABL1	ABL1_chr9_133589790	SMARCB1	SMARCB1_chr22_24129339	0
ABL1_chr9_133589790__SMARCB1_chr22_24133949	ABL1	ABL1_chr9_133589790	SMARCB1	SMARCB1_chr22_24133949	0
ABL1_chr9_133589790__SMARCB1_chr22_24133993	ABL1	ABL1_chr9_133589790	SMARCB1	SMARCB1_chr22_24133993	0
ABL1_chr9_133589790__SMO_chr7_128845117	ABL1	ABL1_chr9_133589790	SMO	SMO_chr7_128845117	0
ABL1_chr9_133589790__SRC_chr20_36014563	ABL1	ABL1_chr9_133589790	SRC	SRC_chr20_36014563	0
ABL1_chr9_133589790__SRC_chr20_36022600	ABL1	ABL1_chr9_133589790	SRC	SRC_chr20_36022600	0
ABL1_chr9_133589790__TOP1_chr20_39657693	ABL1	ABL1_chr9_133589790	TOP1	TOP1_chr20_39657693	0
ABL1_chr9_133589790__TOP1_chr20_39690109	ABL1	ABL1_chr9_133589790	TOP1	TOP1_chr20_39690109	0
ABL1_chr9_133589790__TP53_chr17_7577537	ABL1	ABL1_chr9_133589790	TP53	TP53_chr17_7577537	0
ABL1_chr9_133589790__TP53_chr17_7579881	ABL1	ABL1_chr9_133589790	TP53	TP53_chr17_7579881	0
ABL1_chr9_133589790__TSC1_chr9_135804256	ABL1	ABL1_chr9_133589790	TSC1	TSC1_chr9_135804256	0
ABL1_chr9_133589790__TYMS_chr18_659665	ABL1	ABL1_chr9_133589790	TYMS	TYMS_chr18_659665	0
ABL1_chr9_133589790__VEGFA_chr6_43742077	ABL1	ABL1_chr9_133589790	VEGFA	VEGFA_chr6_43742077	0
ABL1_chr9_133589790__VHL_chr3_10183773	ABL1	ABL1_chr9_133589790	VHL	VHL_chr3_10183773	0
ABL1_chr9_133589790__WEE1_chr11_9595462	ABL1	ABL1_chr9_133589790	WEE1	WEE1_chr11_9595462	0
ABL1_chr9_133738283__AKT1_chr14_105258968	ABL1	ABL1_chr9_133738283	AKT1	AKT1_chr14_105258968	0
ABL1_chr9_133738283__ALK_chr2_29541171	ABL1	ABL1_chr9_133738283	ALK	ALK_chr2_29541171	0
ABL1_chr9_133738283__ALK_chr2_29541172	ABL1	ABL1_chr9_133738283	ALK	ALK_chr2_29541172	0
ABL1_chr9_133738283__ALK_chr2_30143522	ABL1	ABL1_chr9_133738283	ALK	ALK_chr2_30143522	0
ABL1_chr9_133738283__APC_chr5_112102933	ABL1	ABL1_chr9_133738283	APC	APC_chr5_112102933	0
ABL1_chr9_133738283__ARID1A_chr1_27022876	ABL1	ABL1_chr9_133738283	ARID1A	ARID1A_chr1_27022876	0
ABL1_chr9_133738283__ARID1A_chr1_27056286	ABL1	ABL1_chr9_133738283	ARID1A	ARID1A_chr1_27056286	0
ABL1_chr9_133738283__ATM_chr11_108098350	ABL1	ABL1_chr9_133738283	ATM	ATM_chr11_108098350	0
ABL1_chr9_133738283__ATM_chr11_108098390	ABL1	ABL1_chr9_133738283	ATM	ATM_chr11_108098390	0
ABL1_chr9_133738283__BCL2_chr18_60795945	ABL1	ABL1_chr9_133738283	BCL2	BCL2_chr18_60795945	0
ABL1_chr9_133738283__BCL2_chr18_60795960	ABL1	ABL1_chr9_133738283	BCL2	BCL2_chr18_60795960	0
ABL1_chr9_133738283__BRAF_chr7_140508787	ABL1	ABL1_chr9_133738283	BRAF	BRAF_chr7_140508787	0
ABL1_chr9_133738283__BRAF_chr7_140534469	ABL1	ABL1_chr9_133738283	BRAF	BRAF_chr7_140534469	0
ABL1_chr9_133738283__BRCA1_chr17_41256141	ABL1	ABL1_chr9_133738283	BRCA1	BRCA1_chr17_41256141	0
ABL1_chr9_133738283__BRCA1_chr17_41276018	ABL1	ABL1_chr9_133738283	BRCA1	BRCA1_chr17_41276018	0
ABL1_chr9_133738283__BRCA2_chr13_32890586	ABL1	ABL1_chr9_133738283	BRCA2	BRCA2_chr13_32890586	0
ABL1_chr9_133738283__BRCA2_chr13_32914228	ABL1	ABL1_chr9_133738283	BRCA2	BRCA2_chr13_32914228	0
ABL1_chr9_133738283__BRD4_chr19_15383894	ABL1	ABL1_chr9_133738283	BRD4	BRD4_chr19_15383894	0
ABL1_chr9_133738283__BTK_chrX_100626613	ABL1	ABL1_chr9_133738283	BTK	BTK_chrX_100626613	0
ABL1_chr9_133738283__BTK_chrX_100645534	ABL1	ABL1_chr9_133738283	BTK	BTK_chrX_100645534	0
ABL1_chr9_133738283__CASP8_chr2_202123033	ABL1	ABL1_chr9_133738283	CASP8	CASP8_chr2_202123033	0
ABL1_chr9_133738283__CASP8_chr2_202131404	ABL1	ABL1_chr9_133738283	CASP8	CASP8_chr2_202131404	0
ABL1_chr9_133738283__CDH1_chr16_68771300	ABL1	ABL1_chr9_133738283	CDH1	CDH1_chr16_68771300	0
ABL1_chr9_133738283__CDH1_chr16_68772250	ABL1	ABL1_chr9_133738283	CDH1	CDH1_chr16_68772250	0
ABL1_chr9_133738283__CDK4_chr12_58143253	ABL1	ABL1_chr9_133738283	CDK4	CDK4_chr12_58143253	0
ABL1_chr9_133738283__CDK6_chr7_92244474	ABL1	ABL1_chr9_133738283	CDK6	CDK6_chr7_92244474	1
ABL1_chr9_133738283__CDK6_chr7_92252365	ABL1	ABL1_chr9_133738283	CDK6	CDK6_chr7_92252365	0
ABL1_chr9_133738283__CDK6_chr7_92462628	ABL1	ABL1_chr9_133738283	CDK6	CDK6_chr7_92462628	0
ABL1_chr9_133738283__CDK9_chr9_130548409	ABL1	ABL1_chr9_133738283	CDK9	CDK9_chr9_130548409	0
ABL1_chr9_133738283__CDKN1B_chr12_12870931	ABL1	ABL1_chr9_133738283	CDKN1B	CDKN1B_chr12_12870931	0
ABL1_chr9_133738283__CHEK1_chr11_125496687	ABL1	ABL1_chr9_133738283	CHEK1	CHEK1_chr11_125496687	0
ABL1_chr9_133738283__CHEK2_chr22_29085137	ABL1	ABL1_chr9_133738283	CHEK2	CHEK2_chr22_29085137	0
ABL1_chr9_133738283__DHFR_chr5_79950216	ABL1	ABL1_chr9_133738283	DHFR	DHFR_chr5_79950216	0
ABL1_chr9_133738283__DHFR_chr5_79950217	ABL1	ABL1_chr9_133738283	DHFR	DHFR_chr5_79950217	0
ABL1_chr9_133738283__EGFR_chr7_55086962	ABL1	ABL1_chr9_133738283	EGFR	EGFR_chr7_55086962	0
ABL1_chr9_133738283__EGFR_chr7_55209992	ABL1	ABL1_chr9_133738283	EGFR	EGFR_chr7_55209992	0
ABL1_chr9_133738283__ERBB2_chr17_37868292	ABL1	ABL1_chr9_133738283	ERBB2	ERBB2_chr17_37868292	0
ABL1_chr9_133738283__FGFR2_chr10_123298118	ABL1	ABL1_chr9_133738283	FGFR2	FGFR2_chr10_123298118	0
ABL1_chr9_133738283__FGFR3_chr4_1795736	ABL1	ABL1_chr9_133738283	FGFR3	FGFR3_chr4_1795736	0
ABL1_chr9_133738283__FLT3_chr13_28636172	ABL1	ABL1_chr9_133738283	FLT3	FLT3_chr13_28636172	0
ABL1_chr9_133738283__FLT3_chr13_28674643	ABL1	ABL1_chr9_133738283	FLT3	FLT3_chr13_28674643	0
ABL1_chr9_133738283__FNTA_chr8_42911471	ABL1	ABL1_chr9_133738283	FNTA	FNTA_chr8_42911471	0
ABL1_chr9_133738283__FNTA_chr8_42924781	ABL1	ABL1_chr9_133738283	FNTA	FNTA_chr8_42924781	0
ABL1_chr9_133738283__GATA3_chr10_8097612	ABL1	ABL1_chr9_133738283	GATA3	GATA3_chr10_8097612	0
ABL1_chr9_133738283__HDAC1_chr1_32792601	ABL1	ABL1_chr9_133738283	HDAC1	HDAC1_chr1_32792601	0
ABL1_chr9_133738283__HDAC2_chr6_114266539	ABL1	ABL1_chr9_133738283	HDAC2	HDAC2_chr6_114266539	0
ABL1_chr9_133738283__HDAC6_chrX_48661089	ABL1	ABL1_chr9_133738283	HDAC6	HDAC6_chrX_48661089	0
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	ABL1	ABL1_chr9_133738283	HSP90AA1	HSP90AA1_chr14_102551760	0
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	ABL1	ABL1_chr9_133738283	HSP90AA1	HSP90AA1_chr14_102552141	0
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	ABL1	ABL1_chr9_133738283	HSP90AA1	HSP90AA1_chr14_102605736	0
ABL1_chr9_133738283__IGF1R_chr15_99192824	ABL1	ABL1_chr9_133738283	IGF1R	IGF1R_chr15_99192824	0
ABL1_chr9_133738283__IGF1R_chr15_99434807	ABL1	ABL1_chr9_133738283	IGF1R	IGF1R_chr15_99434807	0
ABL1_chr9_133738283__KDM5C_chrX_53241021	ABL1	ABL1_chr9_133738283	KDM5C	KDM5C_chrX_53241021	0
ABL1_chr9_133738283__KDM5C_chrX_53254068	ABL1	ABL1_chr9_133738283	KDM5C	KDM5C_chrX_53254068	0
ABL1_chr9_133738283__KDM6A_chrX_44732838	ABL1	ABL1_chr9_133738283	KDM6A	KDM6A_chrX_44732838	0
ABL1_chr9_133738283__KIT_chr4_55524176	ABL1	ABL1_chr9_133738283	KIT	KIT_chr4_55524176	0
ABL1_chr9_133738283__KMT2D_chr12_49448161	ABL1	ABL1_chr9_133738283	KMT2D	KMT2D_chr12_49448161	0
ABL1_chr9_133738283__MAP2K1_chr15_66679721	ABL1	ABL1_chr9_133738283	MAP2K1	MAP2K1_chr15_66679721	0
ABL1_chr9_133738283__MAP2K1_chr15_66679756	ABL1	ABL1_chr9_133738283	MAP2K1	MAP2K1_chr15_66679756	0
ABL1_chr9_133738283__MAP3K1_chr5_56152466	ABL1	ABL1_chr9_133738283	MAP3K1	MAP3K1_chr5_56152466	0
ABL1_chr9_133738283__MET_chr7_116339123	ABL1	ABL1_chr9_133738283	MET	MET_chr7_116339123	0
ABL1_chr9_133738283__MET_chr7_116340188	ABL1	ABL1_chr9_133738283	MET	MET_chr7_116340188	0
ABL1_chr9_133738283__MLH1_chr3_37035029	ABL1	ABL1_chr9_133738283	MLH1	MLH1_chr3_37035029	0
ABL1_chr9_133738283__MLH1_chr3_37038179	ABL1	ABL1_chr9_133738283	MLH1	MLH1_chr3_37038179	0
ABL1_chr9_133738283__MLH1_chr3_37045912	ABL1	ABL1_chr9_133738283	MLH1	MLH1_chr3_37045912	0
ABL1_chr9_133738283__MTOR_chr1_11317010	ABL1	ABL1_chr9_133738283	MTOR	MTOR_chr1_11317010	0
ABL1_chr9_133738283__MTOR_chr1_11317149	ABL1	ABL1_chr9_133738283	MTOR	MTOR_chr1_11317149	0
ABL1_chr9_133738283__NF1_chr17_29483038	ABL1	ABL1_chr9_133738283	NF1	NF1_chr17_29483038	0
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	ABL1	ABL1_chr9_133738283	NonTargetingControlGuideForHuman0362	NonTargetingControlGuideForHuman0362	0
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	ABL1	ABL1_chr9_133738283	NonTargetingControlGuideForHuman0412	NonTargetingControlGuideForHuman0412	0
ABL1_chr9_133738283__PARP1_chr1_226595581	ABL1	ABL1_chr9_133738283	PARP1	PARP1_chr1_226595581	0
ABL1_chr9_133738283__PDGFRA_chr4_55124963	ABL1	ABL1_chr9_133738283	PDGFRA	PDGFRA_chr4_55124963	0
ABL1_chr9_133738283__PIK3CA_chr3_178916614	ABL1	ABL1_chr9_133738283	PIK3CA	PIK3CA_chr3_178916614	1
ABL1_chr9_133738283__PIK3R1_chr5_67522521	ABL1	ABL1_chr9_133738283	PIK3R1	PIK3R1_chr5_67522521	0
ABL1_chr9_133738283__PIK3R1_chr5_67576421	ABL1	ABL1_chr9_133738283	PIK3R1	PIK3R1_chr5_67576421	0
ABL1_chr9_133738283__PRKDC_chr8_48872683	ABL1	ABL1_chr9_133738283	PRKDC	PRKDC_chr8_48872683	0
ABL1_chr9_133738283__PTEN_chr10_89653786	ABL1	ABL1_chr9_133738283	PTEN	PTEN_chr10_89653786	0
ABL1_chr9_133738283__RB1_chr13_48878054	ABL1	ABL1_chr9_133738283	RB1	RB1_chr13_48878054	0
ABL1_chr9_133738283__RB1_chr13_48934148	ABL1	ABL1_chr9_133738283	RB1	RB1_chr13_48934148	0
ABL1_chr9_133738283__RB1_chr13_48936969	ABL1	ABL1_chr9_133738283	RB1	RB1_chr13_48936969	0
ABL1_chr9_133738283__ROR1_chr1_64240072	ABL1	ABL1_chr9_133738283	ROR1	ROR1_chr1_64240072	0
ABL1_chr9_133738283__ROR1_chr1_64240089	ABL1	ABL1_chr9_133738283	ROR1	ROR1_chr1_64240089	0
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	ABL1	ABL1_chr9_133738283	RPS6KB1	RPS6KB1_chr17_57987922	0
ABL1_chr9_133738283__RRM2_chr2_10262728	ABL1	ABL1_chr9_133738283	RRM2	RRM2_chr2_10262728	0
ABL1_chr9_133738283__RUNX1_chr21_36252860	ABL1	ABL1_chr9_133738283	RUNX1	RUNX1_chr21_36252860	0
ABL1_chr9_133738283__RUNX1_chr21_36252902	ABL1	ABL1_chr9_133738283	RUNX1	RUNX1_chr21_36252902	0
ABL1_chr9_133738283__RUNX1_chr21_36421144	ABL1	ABL1_chr9_133738283	RUNX1	RUNX1_chr21_36421144	0
ABL1_chr9_133738283__SETD2_chr3_47142972	ABL1	ABL1_chr9_133738283	SETD2	SETD2_chr3_47142972	0
ABL1_chr9_133738283__SMAD4_chr18_48573460	ABL1	ABL1_chr9_133738283	SMAD4	SMAD4_chr18_48573460	0
ABL1_chr9_133738283__SMARCA4_chr19_11095011	ABL1	ABL1_chr9_133738283	SMARCA4	SMARCA4_chr19_11095011	0
ABL1_chr9_133738283__SMO_chr7_128845081	ABL1	ABL1_chr9_133738283	SMO	SMO_chr7_128845081	0
ABL1_chr9_133738283__SMO_chr7_128845117	ABL1	ABL1_chr9_133738283	SMO	SMO_chr7_128845117	0
ABL1_chr9_133738283__SRC_chr20_36012562	ABL1	ABL1_chr9_133738283	SRC	SRC_chr20_36012562	0
ABL1_chr9_133738283__SRC_chr20_36022600	ABL1	ABL1_chr9_133738283	SRC	SRC_chr20_36022600	0
ABL1_chr9_133738283__TOP1_chr20_39657693	ABL1	ABL1_chr9_133738283	TOP1	TOP1_chr20_39657693	0
ABL1_chr9_133738283__TOP1_chr20_39690055	ABL1	ABL1_chr9_133738283	TOP1	TOP1_chr20_39690055	0
ABL1_chr9_133738283__TP53_chr17_7578373	ABL1	ABL1_chr9_133738283	TP53	TP53_chr17_7578373	0
ABL1_chr9_133738283__TSC1_chr9_135796748	ABL1	ABL1_chr9_133738283	TSC1	TSC1_chr9_135796748	0
ABL1_chr9_133738283__TYMS_chr18_657730	ABL1	ABL1_chr9_133738283	TYMS	TYMS_chr18_657730	0
ABL1_chr9_133738283__TYMS_chr18_659665	ABL1	ABL1_chr9_133738283	TYMS	TYMS_chr18_659665	0
ABL1_chr9_133738283__VEGFA_chr6_43738425	ABL1	ABL1_chr9_133738283	VEGFA	VEGFA_chr6_43738425	0
